year,month,RF
2017,9,0.0009
2017,10,0.0009
2017,11,0.0008
2017,12,0.0009
2018,1,0.0012
2018,2,0.0011
2018,3,0.0011
2018,4,0.0014
2018,5,0.0014
2018,6,0.0014
2018,7,0.0016
2018,8,0.0016
2018,9,0.0015
2018,10,0.0019
2018,11,0.0018
2018,12,0.002
2019,1,0.0021
2019,2,0.0018
2019,3,0.0019
2019,4,0.0021
2019,5,0.0021
2019,6,0.0018
2019,7,0.0019
2019,8,0.0016
2019,9,0.0018
2019,10,0.0016
2019,11,0.0012
2019,12,0.0014
2020,1,0.0013
2020,2,0.0012
2020,3,0.0013
2020,4,0
2020,5,0.0001
2020,6,0.0001
2020,7,0.0001
2020,8,0.0001
2020,9,0.0001
2020,10,0.0001
2020,11,0.0001
2020,12,0.0001
2021,1,0.0001
2021,2,0
2021,3,0
2021,4,0
2021,5,0
2021,6,0
2021,7,0
2021,8,0
2021,9,0
2021,10,0
2021,11,0
2021,12,0.0001
2022,1,0
2022,2,0
2022,3,0.0001
2022,4,0.0001
2022,5,0.0003
2022,6,0.0006
2022,7,0.0008
2022,8,0.0019
2022,9,0.0019
2022,10,0.0023
2022,11,0.0029
2022,12,0.0033
2023,1,0.0035
2023,2,0.0034
2023,3,0.0036
2023,4,0.0035
2023,5,0.0036
2023,6,0.004
2023,7,0.0045
2023,8,0.0045
2023,9,0.0043
2023,10,0.0047
2023,11,0.0044
2023,12,0.0043
