year,month,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
2018,10,-0.143355,-0.14536,-0.108645,-0.092339,-0.086635,-0.126994,-0.120702,-0.122957,-0.113816,-0.083103,-0.135047,-0.105234,-0.085633,-0.077477,-0.089386,-0.096154,-0.100099,-0.083206,-0.067429,-0.092492,-0.088962,-0.049594,-0.048326,-0.047949,-0.075416,-0.115301,-0.078706,-0.100389,-0.098714,-0.144323,-0.116058,-0.07159,-0.110801,-0.112529,-0.144916,-0.089852,-0.103853,-0.093258,-0.096999,-0.115768,-0.071066,-0.069829,-0.080875,-0.09092,-0.116002,-0.043671,-0.0543,-0.061607,-0.045574,-0.116869,-0.135597,-0.07776,-0.098955,-0.070129,-0.13582,-0.141635,-0.089265,-0.104411,-0.109837,-0.117285,-0.114877,-0.103559,-0.092872,-0.085319,-0.117072,-0.120336,-0.098256,-0.088009,-0.075617,-0.085428,-0.069758,-0.08188,-0.06561,-0.049082,-0.084335,-0.1432,-0.0914,-0.0888,-0.0948,-0.1109,-0.1258,-0.108,-0.0862,-0.1079,-0.1336,-0.1007,-0.0954,-0.0834,-0.1035,-0.1206,-0.0996,-0.0847,-0.0898,-0.0765,-0.116,-0.0526,-0.0547,-0.0466,-0.0633,-0.1009
2018,11,-0.015507,0.00104,-0.001383,0.002138,-0.035766,0.031766,0.02034,0.029118,0.019011,0.005846,0.003359,0.02463,0.028172,0.022545,-0.005705,0.026352,0.018999,0.035177,-0.005676,0.052197,0.008289,0.031364,0.020209,0.027367,0.003229,-0.014468,-0.014064,0.018146,-0.004322,-0.021494,0.021034,0.008599,0.014949,0.035872,0.021695,-0.004614,0.035687,0.016823,0.032982,-0.004317,0.012544,0.01685,0.032546,0.040652,0.007929,0.01956,0.029455,0.025614,0.00176,0.0216,-0.018874,0.010208,-0.007048,-0.012976,-0.061705,0.024421,0.017987,0.043656,0.001682,0.001639,-0.00906,0.012892,0.02029,0.040714,0.010114,0.005931,0.023956,0.020145,0.032664,0.028997,0.037101,0.011282,0.019488,0.026024,0.007941,-0.0111,-0.0022,-0.0003,0.0068,-0.0331,0.0347,0.0189,0.0099,0.0144,-0.0007,0.0535,0.0315,0.0242,0.0202,-0.0168,0.0455,0.0345,0.022,0.0382,0.0033,-0.0311,0.0262,0.0438,-0.0072,0.0185
2018,12,-0.143075,-0.132733,-0.114422,-0.113879,-0.124991,-0.122944,-0.11226,-0.117946,-0.126054,-0.119465,-0.112175,-0.108748,-0.116721,-0.119631,-0.146235,-0.10101,-0.114145,-0.106923,-0.123664,-0.128479,-0.084588,-0.071948,-0.100614,-0.104916,-0.127582,-0.138049,-0.120336,-0.09718,-0.122925,-0.139192,-0.124022,-0.105215,-0.134342,-0.108621,-0.120638,-0.120948,-0.109469,-0.118055,-0.118501,-0.119808,-0.117793,-0.107049,-0.105588,-0.110406,-0.11189,-0.084862,-0.093917,-0.09051,-0.092897,-0.0811,-0.146681,-0.100311,-0.101687,-0.122535,-0.13043,-0.120047,-0.110927,-0.118503,-0.128192,-0.130516,-0.085842,-0.133808,-0.126524,-0.117886,-0.115786,-0.119463,-0.107866,-0.108894,-0.111218,-0.106985,-0.068719,-0.100688,-0.090871,-0.084172,-0.087953,-0.1805,-0.1239,-0.1056,-0.1099,-0.1294,-0.135,-0.1248,-0.1269,-0.097,-0.1212,-0.1397,-0.1361,-0.1077,-0.1122,-0.1184,-0.1347,-0.1231,-0.093,-0.112,-0.0916,-0.0996,-0.0948,-0.0996,-0.0829,-0.0846
2019,1,0.128154,0.109233,0.097653,0.087631,0.109377,0.107249,0.111662,0.098509,0.10438,0.105142,0.144223,0.101367,0.115542,0.10793,0.140946,0.113018,0.104988,0.105677,0.119997,0.121671,0.081274,0.063757,0.101947,0.064627,0.131555,0.131169,0.106486,0.083041,0.099018,0.0943,0.107152,0.073543,0.099875,0.118715,0.116313,0.136121,0.122946,0.110389,0.108468,0.143877,0.111473,0.08288,0.10328,0.097761,0.141581,0.066127,0.075808,0.0788,0.069934,0.098012,0.127858,0.07809,0.084822,0.094624,0.102503,0.11698,0.082573,0.104801,0.102756,0.132137,0.161704,0.106208,0.118192,0.109197,0.135936,0.155192,0.113072,0.103862,0.102343,0.098154,0.060523,0.117757,0.080858,0.068168,0.077596,0.1966,0.1149,0.0728,0.0732,0.102,0.2006,0.1289,0.1064,0.0883,0.0947,0.1972,0.1514,0.1155,0.08,0.1003,0.163,0.122,0.1167,0.0901,0.0992,0.1902,0.1246,0.074,0.0613,0.0758
2019,2,0.080723,0.056881,0.063646,0.049835,0.047344,0.064176,0.068047,0.057381,0.051391,0.009602,0.067099,0.05949,0.048124,0.03855,0.022877,0.070518,0.049528,0.030604,0.022951,0.031536,0.038916,0.028723,0.039167,0.013285,0.017422,0.042255,0.065513,0.045974,0.064318,0.080578,0.031813,0.042581,0.053461,0.054521,0.073135,0.055543,0.043005,0.035466,0.047567,0.074573,0.030095,0.050518,0.04526,0.037247,0.067449,0.047822,0.029825,0.037828,0.032574,0.025204,0.058687,0.049907,0.060879,0.053146,0.067043,0.053981,0.040278,0.061806,0.057019,0.049524,0.060986,0.050834,0.052652,0.046614,0.05961,0.051356,0.045292,0.044373,0.041515,0.063424,-0.000788,0.044958,0.028893,0.035559,0.031709,0.0774,0.0641,0.0518,0.0525,0.0546,0.0408,0.0704,0.0634,0.0548,0.0422,0.0467,0.0485,0.0412,0.0526,0.0513,0.0632,0.0399,0.0337,0.0531,0.0549,-0.0003,0.0259,0.0288,0.0258,0.051
2019,3,0.00747,-0.006215,-0.029198,-0.052873,-0.037298,-0.003277,-0.01334,-0.029901,-0.061292,-0.029294,-0.013533,-0.018895,-0.008435,-0.020883,-0.035996,0.01796,0.009376,-0.0059,-0.005349,-0.031665,0.032692,0.018513,0.001887,-0.007163,-0.031783,-0.030309,-0.041981,-0.047014,-0.0329,-0.016516,-0.028436,-0.041437,-0.038653,-0.013402,-0.011769,0.014947,-0.013098,-0.015669,-0.038939,-0.009211,0.018527,-0.001366,-0.007089,0.006411,0.008825,0.01676,-0.008454,0.005702,0.024471,0.038998,-0.006231,-0.041869,-0.042895,-0.049585,-0.059222,-0.009569,-0.034513,-0.036257,-0.03769,-0.035761,0.009921,-0.031913,-0.022507,-0.007249,-0.025104,-0.009261,0.001921,-0.003241,0.016408,0.007362,-0.014196,0.006582,0.008255,0.01744,0.034763,-0.0329,-0.0378,-0.0407,-0.0341,-0.0103,-0.0339,-0.0322,-0.0328,-0.0226,-0.0154,-0.0266,-0.0277,-0.0292,-0.0094,-0.0069,-0.0025,-0.0212,-0.0014,0.0127,0.0032,0.0176,-0.0067,0.0218,0.0246,0.019
2019,4,0.005172,0.015972,0.021309,0.040833,0.018016,0.032133,0.017074,0.037098,0.03621,0.036673,0.031862,0.045948,0.068872,0.058081,0.037548,0.032165,0.040161,0.042844,0.052871,0.045469,0.043917,0.031275,0.036341,0.052281,0.089563,0.014807,0.018466,0.045404,0.034677,0.002057,-0.001333,0.024801,0.054791,0.032508,0.029494,0.033779,0.053176,0.048698,0.053067,0.044859,0.028368,0.039038,0.04323,0.046877,0.034177,0.002983,0.045194,0.048768,0.029903,0.066043,0.013739,0.028917,0.037195,-0.004003,0.043611,0.009431,0.036628,0.032364,0.051508,0.048723,0.013744,0.059782,0.0532,0.05661,0.043373,0.01999,0.049591,0.045907,0.035064,0.042968,0.058793,0.051343,0.042427,0.044171,0.037082,0.0195,0.0361,0.0278,0.012,0.0003,0.0335,0.0537,0.0329,0.036,0.017,0.0565,0.0536,0.0481,0.0354,0.0145,0.0607,0.0531,0.0508,0.0291,0.0332,0.0535,0.0471,0.0712,0.0305,0.0287
2019,5,-0.060531,-0.049309,-0.07914,-0.087672,-0.081373,-0.08679,-0.077682,-0.077519,-0.103805,-0.108407,-0.054374,-0.081168,-0.077043,-0.087237,-0.098356,-0.055611,-0.077144,-0.073369,-0.089526,-0.079439,-0.068928,-0.055512,-0.049835,-0.08213,-0.087528,-0.093538,-0.084092,-0.071604,-0.040782,-0.068278,-0.078094,-0.06901,-0.089529,-0.089903,-0.100105,-0.052175,-0.088939,-0.061607,-0.085927,-0.076728,-0.088488,-0.090051,-0.068793,-0.068274,-0.059073,-0.047611,-0.057531,-0.062547,-0.065801,-0.078689,-0.072154,-0.071938,-0.066195,-0.086713,-0.102023,-0.074792,-0.076817,-0.086475,-0.118496,-0.111735,-0.04619,-0.08444,-0.087122,-0.077275,-0.080361,-0.055284,-0.072401,-0.06467,-0.084038,-0.068613,-0.083949,-0.080747,-0.064475,-0.058919,-0.06764,-0.1409,-0.0687,-0.0721,-0.0699,-0.0574,-0.1484,-0.1038,-0.0851,-0.0725,-0.0389,-0.1568,-0.1027,-0.0984,-0.072,-0.0537,-0.1365,-0.1174,-0.0757,-0.0612,-0.0311,-0.1414,-0.1091,-0.0712,-0.067,-0.0346
2019,6,0.073244,0.063406,0.046944,0.067017,0.047588,0.088157,0.086657,0.087212,0.068973,0.067114,0.096858,0.084003,0.075584,0.066686,0.065928,0.071514,0.095575,0.093338,0.074507,0.068096,0.076863,0.057902,0.061146,0.066409,0.079545,0.065464,0.054658,0.073701,0.050559,0.057195,0.067224,0.066223,0.080258,0.078435,0.086937,0.072681,0.081188,0.065153,0.067809,0.100868,0.064571,0.07903,0.080255,0.088201,0.07959,0.068849,0.072589,0.063571,0.072996,0.067446,0.056208,0.051874,0.066972,0.064982,0.069622,0.084544,0.072474,0.073215,0.098463,0.08441,0.064915,0.061827,0.101622,0.082153,0.093752,0.088926,0.078817,0.070143,0.097631,0.067454,0.043574,0.088241,0.048921,0.073637,0.075473,0.0681,0.065,0.0565,0.0501,0.0611,0.0804,0.0873,0.0615,0.0748,0.0768,0.0805,0.0896,0.0819,0.0769,0.0714,0.1219,0.1053,0.0786,0.0615,0.0792,0.1284,0.0645,0.0776,0.0672,0.0643
2019,7,-0.031478,-0.013714,-0.011739,-0.018585,-0.021091,-0.02881,0.011055,0.007363,0.010068,-0.00201,0.029144,0.016279,0.007881,-0.000266,0.013426,0.020371,0.013698,0.019258,0.001787,-0.000257,0.015629,0.019583,0.015622,0.005497,0.032047,-0.022517,-0.000618,-0.010315,-0.006755,-0.036617,-0.000908,0.028265,0.002632,0.005187,-0.021092,0.014755,0.011813,0.018254,0.019766,0.009767,-0.004281,0.010611,0.019987,0.00637,0.031379,0.006514,0.013584,0.017357,0.016022,0.019244,-0.034474,0.004168,-0.017309,-0.010038,-0.026081,-0.001625,0.019095,-0.004019,0.0015,-0.043133,0.01992,0.013328,0.013302,0.007901,0.019119,0.024901,0.006128,0.013626,0.016658,0.010683,0.004721,-0.005139,0.028108,0.014943,0.017874,-0.0447,-0.0179,-0.0152,0.0132,-0.0004,-0.036,0.0102,0.0063,0.0125,0.0055,-0.0443,0.0034,0.0283,0.0122,0.0319,-0.0105,0.0334,0.0091,0.0104,0.0188,0.0384,-0.0007,0.0238,0.0145,0.0114
2019,8,-0.040612,-0.056755,-0.073658,-0.066807,-0.08716,-0.011431,-0.068729,-0.047951,-0.058539,-0.103756,-0.056959,-0.04246,-0.049971,-0.071698,-0.102126,-0.020363,-0.045694,-0.048984,-0.049488,-0.081853,-0.002367,-0.022864,-0.03005,-0.033123,-0.086138,-0.059636,-0.067349,-0.073105,-0.067574,-0.052665,-0.082621,-0.057366,-0.046924,-0.059973,-0.034053,-0.087854,-0.059641,-0.042748,-0.06145,-0.054211,-0.023829,-0.054361,-0.036258,-0.045192,-0.037887,-0.027926,-0.015696,-0.021265,-0.007639,-0.019584,-0.06312,-0.059208,-0.060329,-0.085779,-0.123701,-0.036681,-0.081796,-0.038627,-0.059985,-0.084394,-0.058438,-0.074575,-0.055685,-0.0546,-0.05323,-0.034805,-0.0332,-0.045622,-0.060161,-0.023855,-0.035698,-0.015594,-0.034756,-0.031855,0.000109,-0.0876,-0.0709,-0.0697,-0.0527,-0.0329,-0.0715,-0.0871,-0.047,-0.0079,-0.0496,-0.1157,-0.0761,-0.0567,-0.0298,-0.0261,-0.1508,-0.1119,-0.0364,-0.017,-0.0183,-0.0841,-0.0576,-0.0497,-0.0109,0.009
2019,9,-0.03528,0.000489,0.034218,0.054917,0.07612,-0.016144,0.020259,0.039365,0.055813,0.041315,-0.033039,0.013966,0.027707,0.064351,0.064148,-0.032023,0.030562,0.053268,0.062175,0.050451,0.004124,0.014982,0.029068,0.047118,0.053269,0.022164,0.060462,0.066068,0.03956,0.00774,0.03101,0.047622,0.045527,0.040991,-0.009524,0.034654,0.034247,0.020765,0.030672,-0.015349,0.022159,0.038399,0.032358,0.030984,-0.030684,0.015326,0.032548,0.029718,0.002671,-0.004083,-0.000915,0.061331,0.06256,0.039288,0.075035,-0.022832,0.047921,0.047322,0.062197,0.046198,-0.024211,0.036078,0.037198,0.036151,0.006732,-0.034157,0.040624,0.036721,0.023463,0.02067,0.001701,0.033051,0.029534,0.007877,0.012871,0.0737,0.04,0.0436,0.0247,-0.0244,0.0473,0.0507,0.0537,0.0128,-0.049,0.0672,0.0458,0.0363,0.0293,-0.0269,0.0535,0.0637,0.0387,0.0252,-0.0375,0.0457,0.0541,0.0181,0.0307,-0.004
