year,month,MKTRF,SMB,HML,RMW,CMA,UMD,HMLM,REG,IA,ROE,ME,PEAD,FIN,STR,ILR,EPRD
1995,2,0.0363,-0.0054,0.0108,0.0059,-0.0033,-0.0039,0.008681731,0.012099,-0.008485,0.005097,-0.006967,-0.003179944,-0.011611607,0.0239,-0.032624,-0.02175
1995,3,0.0219,-0.0051,-0.0215,-0.0017,0.0022,0.0043,-0.019540744,0.007805,0.001685,0.012654,-0.012145,-0.006509997,0.003254924,-0.0004,-0.003367,-0.003056
1995,4,0.0211,-0.0022,0.0171,0.0041,0.009,0.0179,0.01397474,0.034497,0.000068,0.00142,-0.000076,0.009757523,0.006737672,-0.0052,0.00065,0.010436
1995,5,0.029,-0.0219,0.0229,0.0039,0.0004,-0.0042,0.013001437,0.014624,0.008586,-0.010066,-0.022038,0.006986408,0.025916562,-0.0046,-0.001048,0.00379
1995,6,0.0272,0.0306,-0.0254,-0.0033,-0.0244,0.0293,-0.036148285,0.018099,-0.017465,0.021275,0.03219,0.004005569,-0.034890294,0.0123,-0.023165,0.031183
1995,7,0.0372,0.0209,-0.0162,0.003,-0.0165,0.0256,-0.027299268,0.003138,-0.025443,0.009451,0.017624,0.017307031,-0.046656933,-0.0212,0.052932,-0.009698
1995,8,0.0055,0.0175,0.0279,-0.0124,0.0162,0.0016,0.014620898,0.012954,0.021996,0.001383,0.023538,0.015812973,-0.007900864,0.0128,-0.013473,-0.025324
1995,9,0.0335,-0.0188,-0.0004,0.0103,0.0036,0.029,-0.011190568,0.03123,0.019328,0.013917,-0.007905,0.031228616,0.006773815,-0.0089,0.030129,0.006745
1995,10,-0.0152,-0.0404,-0.005,0.0191,-0.0005,0.0416,-0.007003892,0.044585,0.007822,0.027798,-0.050247,0.017957403,0.044687868,-0.0102,0.079416,0.039
1995,11,0.0396,-0.0107,0.0051,-0.0062,0.0112,-0.0068,-0.003613068,-0.012715,0.011261,-0.002398,-0.007575,-0.009351971,0.011006374,0.006,-0.043565,-0.013882
1995,12,0.0103,0.0072,0.0022,-0.0137,0.031,0.0252,0.005204977,0.004029,0.031163,0.002794,0.006315,0.003003047,0.038507244,-0.0098,0.022903,-0.006557
1996,1,0.0226,-0.0256,0.0038,0.0018,0.0231,0.0054,0.005958833,0.014014,0.02451,-0.015087,-0.026865,-0.005011429,-0.005252528,0.01,0.017882,-0.02742
1996,2,0.0133,0.0177,-0.0108,0.0024,-0.019,0.0059,-0.024523483,0.007364,-0.009876,0.031394,0.027354,-0.002191512,0.000802725,0.0217,-0.030558,-0.00107
1996,3,0.0073,0.0161,0.0035,0.0142,-0.0095,-0.0184,0.018261643,-0.013301,-0.006897,0.002756,0.01873,0.000722024,0.014237899,-0.0011,-0.023759,0.020661
1996,4,0.0206,0.0471,-0.0402,-0.0014,-0.0211,-0.0088,-0.030619291,0.011731,-0.018073,0.028673,0.051852,0.011612556,-0.052513824,0.0069,-0.028351,0.002937
1996,5,0.0236,0.0321,-0.0083,0.0012,-0.003,0.0154,-0.024047943,-0.014379,0.010265,0.01864,0.044631,0.005925384,0.005676745,-0.0107,0.003269,0.051653
1996,6,-0.0114,-0.0365,0.0235,0.0351,0.0122,0.0098,0.026763484,0.016996,0.017381,0.00866,-0.042992,-0.003248403,0.044066322,-0.0018,0.051296,0.04313
1996,7,-0.0597,-0.0381,0.0514,0.0295,0.026,-0.0016,0.040362942,0.029393,0.020165,0.02415,-0.033585,0.00817102,0.079833822,-0.0244,0.014771,0.043596
1996,8,0.0277,0.0257,-0.0074,-0.0037,-0.0242,0.0001,-0.012026013,-0.013704,-0.018529,0.001305,0.024811,0.000534949,-0.044384705,0.0255,-0.040067,0.011337
1996,9,0.0501,-0.0139,-0.0272,0.0127,-0.0222,0.027,-0.042742523,0.029315,-0.017381,0.022071,-0.014457,0.016006811,-0.020908368,0.0054,-0.002443,0.049801
1996,10,0.0086,-0.0377,0.0494,0.014,0.0325,0.0379,0.031228357,0.032184,0.036633,0.018831,-0.024195,0.017700623,0.053278788,-0.0112,-0.006206,-0.013541
1996,11,0.0625,-0.038,0.0139,0.0212,-0.0079,-0.0237,0.009177429,0.05389,-0.013109,0.008165,-0.035327,-0.009145835,0.010734904,0.0021,-0.007081,-0.016661
1996,12,-0.017,0.0325,0.0131,0.0037,0.0149,0.0063,0.012557412,0.017538,0.012254,0.009371,0.033237,0.015233623,0.014599291,0.0064,-0.018351,-0.024694
